"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Yoga","Other","","","","2020-01-24","","0","","","","","0.300071388483047","0","","","","65","79","","","0.528286753400282","9","18","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2020-01-24","","1826.71997070313","","","","","0.525947749614716","0.964999973773956","","34","","103","117","","","0.311944281622149","5.58","30","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-25","","25.25","","","","","0.0334627777338028","0.209999993443489","","","","60","75","","","0.126006461065556","0.05","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2020-01-25","","4002.28002929688","","","","","0.500688910484314","2.22000002861023","","74","","141","174","","","0.666000008583069","24.17","2","1","2","5","3","4","13","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2020-01-25","","0","","","","","0.500305533409119","0","","","","137","159","","","0.699260246450542","26.65","1","3","4","8","4","5","6","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-26","","28.5","","","","","0.0343211106956005","0.231000006198883","","","","62","76","","","0.542829828463395","1.02","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-27","","27.1100006103516","","","","","0.0337063893675804","0.223000004887581","","","","61","76","","","0.10635345684021","0.04","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2020-01-27","","1377.23999023438","","","","","0.454753041267395","0.841000020503998","","25","","101","132","","","0.282417618124432","3.94","26","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2020-01-27","","24841.080078125","155","234","556.913","","1.00073254108429","6.89499998092651","","56","","147","172","","","0.683894794991362","46.4","3","2","2","6","4","6","37","","","","13","21","22","4","0","0","","","","","",""
"Treadmill Running","Run","","","","2020-01-27","","4002.77001953125","","","","","0.501154720783234","2.21900010108948","","74","","142","177","","","0.665700030326843","24.18","1","3","2","4","3","3","13","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-28","","16.0499992370605","","","","","0.0335986129939556","0.133000001311302","","4","","61","71","","","0.034618427696699","1.01","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-28","","8000.60986328125","","","","","1.00544941425323","2.21000003814697","","71","","143","183","","","0.662534450206274","48.92","2","3","4","10","8","7","26","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2020-01-28","","7996.2998046875","","","","","1.00531053543091","2.20900011062622","","76","","131","160","","","0.662700033187866","48.91","11","5","4","16","8","7","9","","","","","","","","","","","","","","",""
